Cohort,Role,Amount,Currency,Country
OLS-6,speaker,212.93,GBP,Colombia
OLS-6,facilitator,377.49,GBP,United Kingdom
OLS-6,speaker,211.53,GBP,United Kingdom
OLS-6,speaker,212.57,GBP,
OLS-6,speaker,211.07,GBP,Netherlands
OLS-6,speaker,211.14,GBP,China
OLS-6,speaker,207.97,GBP,Italy
OLS-6,speaker,250,USD,United Kingdom
OLS-6,speaker,209.94,GBP,Germany
OLS-6,facilitator,92.12,GBP,Kenya
OLS-6,mentor,444.9,GBP,Cameroon
OLS-5,speaker,250,USD,Brazil
OLS-5,speaker,191.87,GBP,Germany
OLS-5,speaker,191.18,GBP,United Kingdom
OLS-5,speaker,250,USD,Brazil
OLS-5,speaker,202.25,GBP,South Africa
OLS-5,speaker,202.81,GBP,United Kingdom
OLS-5,speaker,202.8,GBP,Singapore
OLS-5,speaker,203.12,GBP,Spain
OLS-5,speaker,200.4,GBP,Brazil
OLS-5,speaker,250,USD,Australia
OLS-5,speaker,232.45,EUR,Germany
OLS-5,speaker,200.78,GBP,
OLS-5,mentor,500,USD,Greece
OLS-5,mentor,500,USD,United Kingdom
OLS-5,mentor,467.7,EUR,Sweden
OLS-5,mentor,500,USD,Switzerland
OLS-5,mentor,500,USD,Netherlands
OLS-5,mentor,500,USD,Saudi Arabia
OLS-5,mentor,420.77,GBP,South Africa
OLS-5,mentor,419.9,GBP,Colombia
OLS-5,mentor,412.86,GBP,United Kingdom
OLS-5,mentor,503.43,USD,Netherlands
OLS-5,mentor,408.41,GBP,Canada
OLS-5,mentor,475.04,EUR,Germany
OLS-5,mentor,205.89,GBP,United Kingdom
OLS-5,mentor,250,USD,United Kingdom
OLS-5,mentor,415.43,GBP,Kenya
OLS-5,mentor,425.21,GBP,Argentina
OLS-5,facilitator,681.65,GBP,Kenya
OLS-5,facilitator,300,USD,Saudi Arabia
OLS-5,facilitator,172.9,GBP,France
OLS-5,mentor,500,USD,United Kingdom
OLS-5,mentor,500,USD,United Kingdom
OLS-5,mentor,411.37,GBP,United Kingdom
OLS-5,facilitator,145.32,GBP,Kenya
OLS-5,mentor,52,GBP,Netherlands
OLS-5,"facilitator, mentor",897.78,EUR,Spain
OLS-5,"facilitator, mentor",134.27,GBP,Spain
OLS-7,mentor,311.64,GBP,
OLS-8,Speaker,203.57,GBP,
OLS-8,Facilitator,62.33,GBP,Egypt
OLS-6,speaker,250,USD,United States
OLS-8,speaker,250,USD,
OLS-6,Speaker,206.65,GBP,
OLS-8,Speaker,199.1,GBP,
OLS-8,Speaker,250,USD,
OLS-6,Speaker,234.55,EUR,Cameroon
OLS-6,speaker,205.87,GBP,Canada
OLS-6,facilitator role (transcript check - week 2 and 3 cohort calls),122.02,GBP,Spain
OLS-8,Speaker,200.96,GBP,
OLS-8,Speaker,198.75,GBP,Hong Kong
OLS-6,Speaker,202.66,GBP,Ireland
OLS-8,speaker,225.48,USD,Chile
OLS-8,speaker,199.27,GBP,
OLS-6,facilitator (co-host a session),40.68,GBP,Spain
OLS-7,Mentor,403.81,GBP,Cameroon
OLS-7,Facilitator,187.5,GBP,Cameroon
OLS-7,Mentor,395.49,GBP,Argentina
OLS-7,Facilitator,307.17,GBP,Argentina
OLS-7,Mentor,414.95,GBP,Cameroon
OLS-8,Speaker (Expert talk),211.18,GBP,Cameroon
OLS-7,mentor,500,USD,Argentina
OLS-7,mentor,397.82,GBP,Colombia
OLS-7,Mentor,394.81,GBP,Canada
OLS-8,Speaker,198.96,GBP,Spain
OLS-7,Mentor,457.64,EUR,Netherlands
OLS-7,Mentor,395.94,GBP,India
OLS-7,Mentor,195.7,GBP,United Kingdom
OLS-7,Mentor,383.99,GBP,United Kingdom
OLS-7,Mentor and expert,393.59,GBP,Canada
OLS-7,Mentor,458.74,EUR,Netherlands
OLS-7,Mentor,398.43,GBP,Kenya
OLS-8,Facilitator,75,USD,Nigeria
OLS-7,"co-facilitator, transcriber",150,USD,Ireland
OLS-7,Mentor,457.92,EUR,Ireland
OLS-7,Mentor,456.58,EUR,Switzerland
OLS-7,mentor,394.76,GBP,Kenya
OLS-8,facilitator; transcription check,94.53,GBP,Kenya
OLS-7,mentor,397.71,GBP,Kenya
OLS-7,Mentor,389.08,GBP,Kenya
OLS-7,Facilitator,156.17,GBP,Kenya
OLS-8,Facilitator,240.97,GBP,Kenya
OLS-8,Facilitator,373.05,GBP,Cameroon
OLS-6,Mentor,392.8,GBP,Kenya
OLS-8,Facilitator,201.35,GBP,Kenya
OLS-7,Mentor,500,USD,
OLS-8,Facilitator,68.46,EUR,France
OLS-7,Mentor,457.44,EUR,Germany
OLS-7,Mentor,500,USD,United States
OLS-8,Speaker,233.74,EUR,France
OLS-8,Facilitator,59.92,GBP,Nigeria
OLS-7,Mentor,503.66,USD,Chile
OLS-7,Mentor,457.44,EUR,Ireland
OLS-8,Call facilitator,61,GBP,Nigeria
OLS-8,speaker,251.77,USD,Canada
OLS-8,Speaker,197.84,GBP,
OLS-6,Facilitator (co-hosted 2 meetings and Transcription of the three (3) graduation videos,251.68,GBP,Kenya
OLS-6,"Transcription of the videos, preparing guideline for the transcription",448.41,GBP,Canada
OLS-6,Facilitator and Speaker,370.58,GBP,Spain
OLS-6,speaker,206.02,GBP,Germany
OLS-6,Facilitator - transcription check,189.14,GBP,South Africa
OLS-7,Speaker,201.46,GBP,Nigeria
OLS-7,Speaker,253.62,USD,
OLS-7,Speaker,198.08,GBP,United Kingdom
OLS-7,Speaker,253.58,USD,
OLS-7,Speaker,250.39,USD,Argentina
OLS-7,Speaker,229.91,EUR,Germany
OLS-7,Speaker,202.2,GBP,
OLS-7,speaker,202.83,GBP,India
OLS-7,Speaker,203.62,GBP,Australia
OLS-7,speaker for Open Data,250,USD,Netherlands
OLS-7,Ally Skills workshop facilitator,100,USD,Netherlands
OLS-7,speaker,250,USD,United States
OLS-7,Speaker,200.94,GBP,Nigeria
OLS-7,Facilitator,59.63,GBP,Nigeria
OLS-7,facilitator,81.99,GBP,Kenya
OLS-7,facilitator,61.71,GBP,Kenya
OLS-7,transcription check,52.32,GBP,Kenya
OLS-7,Speaker,250.39,USD,United States
OLS-7,Facilitator,121.37,GBP,
OLS-7,Facilitator,69.41,EUR,France
OLS-6,Mentor,416.98,GBP,Germany
OLS-7,Mentor,458.07,EUR,Germany
OLS-7,Mentor,396.39,GBP,
OLS-3,Mentor,160,USD,United Kingdom
OLS-3,Mentor,160,USD,United Kingdom
OLS-3,Mentor,160,USD,
OLS-3,Mentor,160,USD,Brasil
OLS-3,Mentor,160,USD,Kenya
OLS-3,Mentor,160,USD,Spain
OLS-3,Mentor,160,USD,USA
OLS-3,Mentor,160,USD,Switzerland
OLS-4,Facilitator,350,GBP,Kenya
OLS-4,Facilitator,300,GBP,Kenya
OLS-4,Facilitator,250,GBP,United Kingdom
OLS-4,Facilitator,250,GBP,United Kingdom